set NODES := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24;

set ARCS :=
(1,4) (1,6) (1,11)
(2,1) (2,3)
(3,5) (3,9)
(4,1) (4,2) (4,5) (4,7)
(5,3) (5,4) (5,8)
(6,1) (6,7) (6,10)
(7,4) (7,6) (7,8) (7,13)
(8,5) (8,7) (8,14)
(9,3) (9,21)
(10,6) (10,12) (10,13)
(11,1) (11,12) (11,15)
(12,10) (12,11) (12,13) (12,16)
(13,7) (13,10) (13,12) (13,14) (13,17)
(14,8) (14,13) (14,20) (14,21)
(15,11) (15,16)
(16,12) (16,15) (16,17) (16,18)
(17,13) (17,16) (17,19)
(18,16) (18,19) (18,22)
(19,17) (19,18) (19,20)
(20,14) (20,19) (20,24)
(21,9) (21,14) (21,24)
(22,18) (22,23)
(23,22) (23,24)
(24,20) (24,23) (24,21)
;

# Affected arcs
set A_ARCS :=
(1,6) (2,3) (6,1) (6,10) (10,13) (5,8) (14,13) (20,14) (9,21) (17,19) (18,19);

set DEPOT := 24;

set CLIENTS := 2 5 7 8 9 11 12 13 14 15 19;

# Para calcular los costes
param I :=
1 8
2 8
3 8
4 7
5 7
6 6
7 6
8 6
9 6
10 5
11 4
12 4
13 4
14 4
15 3
16 3
17 3
18 2
19 2
20 2
21 2
22 1
23 1
24 1
;
param J :=
1 1
11 1
15 1
6 2
12 2
16 2
18 2
22 2
10 2.5
2 3
4 3
7 3
13 3
17 3
19 3
23 3
3 4
5 4
8 4
14 4
20 4
24 4
9 5
21 5
;
