set Kompanies := K0 K1 K2 K3 K4 K5 K6 K7 K8 K9 K10 K11 K12 K13 K14 K15 K16 K17 K18 K19 K20 K21 K22 K23 K24 K25 K26 K27 K28 K29 K30 K31 K32 K33 K34 K35 K36 K37 K38 K39 K40 K41 K42 K43 K44 K45 K46 K47 K48 K49 K50 K51 K52 K53 K54 K55 K56 K57 K58 K59 K60 K61 K62 K63 K64 K65 K66 K67 K68 K69 K70 K71 K72 K73 K74 K75 K76 K77 K78 K79 K80 K81 K82 K83 K84 K85 K86 K87 K88 K89 K90 K91 K92 K93 K94 K95 K96 K97 K98 K99;
set Periods := P0 P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17 P18 P19 P20 P21 P22 P23 P24 P25 P26 P27 P28 P29 P30 P31 P32 P33 P34 P35 P36 P37 P38 P39 P40 P41 P42 P43 P44 P45 P46 P47 P48 P49 P50 P51 P52 P53 P54 P55 P56 P57 P58 P59 P60 P61 P62 P63 P64 P65 P66 P67 P68 P69 P70 P71 P72 P73 P74 P75 P76 P77 P78 P79 P80 P81 P82 P83 P84 P85 P86 P87 P88 P89 P90 P91 P92 P93 P94 P95 P96 P97 P98 P99;

param Bundle_price :=
K0 156902
K1 893931
K2 136683
K3 91074
K4 693403
K5 360652
K6 638540
K7 164918
K8 406115
K9 934137
K10 777199
K11 676766
K12 998535
K13 667937
K14 102216
K15 584342
K16 293371
K17 458449
K18 206254
K19 747346
K20 34563
K21 468498
K22 88082
K23 572273
K24 98541
K25 346959
K26 143341
K27 713016
K28 347486
K29 770152
K30 130586
K31 71332
K32 58234
K33 374955
K34 157970
K35 801779
K36 5006
K37 688406
K38 413243
K39 221411
K40 426607
K41 599197
K42 3103
K43 637299
K44 492844
K45 133128
K46 321561
K47 47995
K48 832853
K49 195310
K50 530064
K51 194789
K52 30567
K53 942515
K54 430278
K55 947730
K56 583037
K57 363691
K58 958522
K59 237984
K60 342935
K61 724739
K62 681633
K63 587447
K64 299190
K65 343706
K66 320409
K67 111758
K68 66960
K69 92204
K70 816867
K71 846768
K72 331706
K73 992021
K74 418951
K75 107075
K76 3476
K77 986758
K78 838986
K79 294639
K80 605466
K81 981042
K82 318055
K83 417551
K84 506176
K85 430028
K86 523532
K87 318350
K88 800237
K89 722303
K90 759856
K91 32366
K92 563536
K93 741252
K94 463893
K95 219295
K96 912750
K97 789516
K98 244373
K99 186565
;

param Bundle_minutes: K0 K1 K2 K3 K4 K5 K6 K7 K8 K9 K10 K11 K12 K13 K14 K15 K16 K17 K18 K19 K20 K21 K22 K23 K24 K25 K26 K27 K28 K29 K30 K31 K32 K33 K34 K35 K36 K37 K38 K39 K40 K41 K42 K43 K44 K45 K46 K47 K48 K49 K50 K51 K52 K53 K54 K55 K56 K57 K58 K59 K60 K61 K62 K63 K64 K65 K66 K67 K68 K69 K70 K71 K72 K73 K74 K75 K76 K77 K78 K79 K80 K81 K82 K83 K84 K85 K86 K87 K88 K89 K90 K91 K92 K93 K94 K95 K96 K97 K98 K99 :=
P0 67 50 96 53 65 87 14 10 56 79 1 54 18 50 20 70 66 14 53 70 97 84 76 64 22 49 25 30 48 62 74 50 43 6 79 63 43 54 55 29 99 51 45 35 71 4 85 82 27 44 30 23 38 44 12 34 17 6 40 25 32 82 11 12 35 60 84 21 36 42 89 90 72 36 13 67 45 61 44 6 76 4 66 51 52 0 5 36 59 82 55 87 48 42 83 83 6 4 33 59
P1 59 63 62 70 71 67 26 12 73 83 21 24 85 64 95 26 18 70 17 44 52 38 56 53 24 94 14 29 33 88 83 51 99 17 16 96 15 32 13 9 89 60 56 43 81 26 39 54 50 60 63 22 10 7 63 50 0 64 4 15 56 62 37 15 60 65 84 0 55 42 25 81 39 96 20 90 59 52 58 60 7 90 28 89 17 24 39 49 14 28 93 15 91 47 51 70 48 88 30 13
P2 34 63 29 11 16 86 26 38 93 16 70 88 28 67 5 64 43 1 62 54 46 46 93 80 51 81 20 20 88 28 73 67 48 71 63 35 4 23 85 24 45 88 94 71 94 69 68 37 69 20 2 64 6 79 60 98 5 71 52 87 5 53 19 52 32 81 55 5 6 86 58 12 70 57 65 56 55 12 85 44 3 54 11 60 10 33 12 32 49 67 51 29 35 16 10 37 83 65 64 9
P3 60 52 67 21 6 48 99 55 51 13 90 99 45 65 72 14 66 35 79 27 0 30 76 28 87 73 23 37 5 15 20 90 15 30 25 48 31 35 15 0 33 40 44 49 43 82 30 5 82 62 82 9 37 54 25 12 9 64 92 5 62 89 13 24 92 16 64 25 49 46 23 47 0 85 65 51 18 94 3 25 34 68 91 67 32 55 55 47 3 37 25 84 74 70 27 91 19 23 58 97
P4 87 57 56 42 57 46 71 99 11 70 9 98 22 63 51 90 0 77 18 81 81 41 81 76 96 83 96 7 2 97 55 99 64 37 76 2 24 89 65 30 17 46 10 79 8 41 98 21 47 98 30 77 3 3 42 11 87 62 73 16 51 27 49 59 41 54 7 64 70 45 48 99 93 63 54 37 93 41 23 17 65 42 80 32 96 25 7 78 86 49 55 15 70 33 29 86 18 59 59 35
P5 79 5 35 53 57 3 11 33 7 66 6 28 59 97 59 43 92 50 95 79 96 68 66 53 5 40 33 35 1 91 43 88 30 26 2 20 3 58 31 92 7 69 92 57 7 92 73 94 21 37 16 18 11 3 6 94 48 13 13 61 91 60 58 87 58 55 58 6 38 29 76 93 23 13 70 32 73 70 47 81 4 18 19 49 88 5 56 67 10 63 79 41 85 4 81 77 58 53 15 53
P6 32 16 53 74 16 67 43 8 5 55 35 18 92 44 43 26 30 16 62 62 19 42 45 97 80 81 48 95 46 89 99 23 43 34 58 1 17 60 21 19 14 51 53 86 10 15 66 50 84 79 55 83 37 94 94 98 95 58 59 72 3 12 27 39 23 9 12 15 11 31 27 58 60 73 18 83 52 13 16 20 12 97 52 43 81 40 42 9 77 60 31 19 17 59 61 67 83 96 69 52
P7 79 76 45 85 18 85 45 63 8 87 66 81 42 99 99 40 75 31 50 19 25 86 19 53 13 28 66 34 70 10 25 40 34 8 81 72 91 10 10 11 44 4 70 14 26 11 8 42 32 97 90 25 48 51 95 1 67 69 65 73 30 38 86 93 53 90 7 68 87 19 62 36 70 50 69 99 40 67 85 59 95 67 27 69 85 67 5 90 82 16 85 93 33 5 3 83 7 78 71 50
P8 19 23 92 29 3 24 82 84 93 89 49 20 36 59 11 41 80 82 0 54 68 81 35 53 6 24 60 39 57 59 2 53 23 68 71 10 0 32 25 17 88 58 13 64 19 62 70 42 86 82 14 10 13 5 39 18 53 53 21 15 5 58 51 56 72 53 16 96 13 23 30 86 5 0 71 13 41 98 23 50 2 72 44 21 18 6 88 9 93 19 20 71 23 57 58 96 1 28 49 62
P9 92 66 78 6 83 46 32 22 62 89 4 8 92 37 5 57 22 14 0 58 67 16 76 14 50 20 77 57 6 39 37 64 72 99 73 99 50 60 50 47 84 79 17 51 81 29 70 67 9 92 42 64 88 72 54 70 7 56 24 25 34 18 80 34 4 23 43 27 7 74 5 49 16 54 16 33 8 3 14 95 10 71 94 63 6 61 22 80 50 8 60 49 16 59 72 42 22 70 99 93
P10 46 12 7 82 77 96 81 39 35 42 2 90 77 63 95 96 48 17 54 88 79 40 86 32 30 50 89 90 98 54 2 92 53 50 46 37 2 16 51 41 70 20 80 64 82 76 88 58 76 72 44 64 19 56 13 73 12 92 70 53 17 46 85 97 7 70 8 33 11 49 81 45 94 80 89 15 19 70 88 9 37 26 94 35 78 27 30 9 26 46 28 38 97 94 41 79 21 25 7 37
P11 36 42 90 15 23 34 90 20 13 13 84 94 51 45 28 64 6 31 50 66 49 33 64 56 69 9 39 51 72 28 8 90 72 80 65 91 35 9 14 13 86 46 4 98 86 64 74 99 88 79 22 90 84 56 56 74 0 28 9 35 1 14 70 76 50 99 73 0 15 99 2 51 9 58 87 62 48 11 13 97 86 20 76 92 51 14 10 5 39 72 51 39 72 15 58 17 32 34 39 51
P12 47 98 44 73 45 26 25 31 82 37 7 18 3 81 59 99 35 22 92 90 93 47 22 59 76 91 53 63 18 42 82 0 96 86 13 47 81 65 88 83 94 38 18 21 32 54 34 51 91 22 82 54 19 53 72 94 25 91 70 13 51 4 50 3 69 24 52 50 19 13 3 64 21 13 47 56 23 83 33 50 77 61 64 60 58 25 34 91 10 95 15 34 32 77 7 47 70 88 73 36
P13 90 48 2 92 91 35 44 9 76 16 42 87 9 20 53 16 80 31 89 25 50 20 4 26 43 51 76 99 51 64 78 54 60 91 72 30 7 8 72 31 64 78 57 47 50 24 11 95 50 8 31 58 65 23 27 72 84 71 82 29 68 50 90 16 14 37 65 91 99 34 26 73 17 97 87 96 93 34 94 32 63 76 5 29 50 98 31 95 22 17 65 7 62 37 80 13 69 2 4 9
P14 58 82 15 85 53 52 21 72 50 73 57 23 17 1 72 16 0 39 3 71 68 0 42 55 33 18 81 54 26 13 66 84 44 18 74 73 69 86 68 59 11 39 93 98 65 83 75 66 49 25 24 94 54 17 74 74 25 45 53 32 20 19 88 55 36 47 4 7 69 51 25 37 52 27 54 50 95 71 97 44 45 1 13 20 50 78 22 78 36 51 22 51 24 19 15 50 51 1 73 75
P15 69 47 27 32 76 25 98 73 65 49 20 27 79 72 97 86 36 26 23 70 63 63 21 13 86 4 94 23 34 56 35 39 83 49 14 64 51 43 17 25 66 76 44 87 17 39 35 82 39 88 38 64 98 57 20 52 55 85 60 14 56 74 9 72 25 75 83 42 69 60 80 33 53 22 84 4 46 68 38 70 78 31 17 48 9 71 27 29 82 21 20 96 44 49 35 96 39 75 61 20
P16 7 63 65 18 58 4 89 93 15 1 90 75 37 36 88 21 22 48 61 76 67 80 19 14 8 26 78 9 98 73 69 1 23 80 78 80 24 71 83 18 3 83 41 65 68 75 12 32 54 60 62 40 25 22 95 86 31 2 46 30 67 42 44 79 76 51 24 13 65 89 65 1 97 0 94 65 59 56 71 86 6 44 2 1 61 33 60 0 79 28 17 58 42 87 28 48 29 47 24 51
P17 23 30 51 79 17 58 29 35 34 59 12 41 36 19 7 66 80 1 25 33 98 4 53 25 72 95 27 14 7 40 57 40 67 49 4 6 52 32 8 9 18 9 47 73 85 27 72 7 84 68 69 27 84 28 45 75 98 25 41 55 29 13 16 95 83 97 88 5 98 31 61 44 98 15 45 37 35 85 90 25 28 61 6 96 49 15 46 78 32 32 64 76 7 99 67 4 34 19 85 39
P18 71 19 89 46 90 40 6 94 54 86 65 82 26 64 67 43 52 84 32 6 9 80 4 84 92 78 11 66 47 38 29 14 50 50 68 35 12 42 59 69 74 43 37 69 35 74 76 37 95 45 29 70 63 48 65 0 91 36 57 9 4 9 29 93 83 30 3 26 7 12 82 78 89 27 77 61 75 55 51 10 86 39 84 7 90 40 46 11 38 77 71 63 15 30 57 52 88 75 70 27
