set Activities := 1 2 3 4 5 6 7 8 9 10 11;
set Final_Activity := 12;
set Arcs :=
(1,3)
(2,4)
(3,5)
(4,6)
(5,7)
(6,7)
(7,8)
(8,9)
(8,10)
(9,11)
(10,11)
(11,12)
;

param completionTime :=
1 6
2 2
3 3
4 2
5 4
6 1
7 1
8 6
9 3
10 1
11 1
;

param executionCost :=
1 100
2 100
5 100
8 100
9 100
;

param crashCost :=
1 240
2 150
5 180
8 160
9 140
;

param crashCompletionTime :=
1 4
2 1
3 3
4 2
5 2
6 1
7 1
8 3
9 2
10 1
11 1
;

param directioningCost := 10;
param b0 := 10000;
param r := 0.05;
param w := 0.1;
